名前,職業,職分,HP,攻撃力,防御力,術耐性,再配置時間,コスト数,ブロック数,攻撃速度,入手方法,募集タグ,レアリティ
シージ,先鋒,先駆兵,2251,515+60,384+25,0,70s(遅い),14,2,1.05s(普通),中堅スカウト公開求人,近距離COST回復火力,6
バグパイプ,先鋒,突撃兵,2484,586+85,382,0,70s(遅い),13,1,1.00s(速い),中堅スカウト公開求人,近距離COST回復火力,6
シルバーアッシュ,前衛,領主,2560,713+50,397+50,10,70s(遅い),20,2,1.30s(やや遅い),中堅スカウト公開求人,近距離火力支援,6
スカジ,前衛,勇士,3866,1015+80,263+40,0,70s(遅い),19,1,1.50s(やや遅い),中堅スカウト公開求人,近距離火力生存,6
ソーンズ,前衛,領主,2612,711+30,402+70,10,70s(遅い),20,2,1.30s(やや遅い),スタンダード公開求人,近距離火力防御,6
チェン,前衛,剣豪,2880,610+50,352+50,0,70s(遅い),23,2,1.30s(やや遅い),中堅スカウト公開求人,近距離爆発力火力,6
ブレイズ,前衛,強襲者,2821,765+60,370+45,0,70s(遅い),24,3,1.20s(普通),中堅スカウト公開求人,近距離火力生存,6
ヘラグ,前衛,武者,3825+400,762+70,334,0,70s(遅い),26,1,1.20s(普通),中堅スカウト公開求人,近距離火力生存,6
サリア,重装,庇護衛士,3150,485+50,595+60,10,70s(遅い),22,3,1.20s(普通),中堅スカウト公開求人,近距離防御治療支援,6
ホシグマ,重装,重盾衛士,3850,430+60,723+60,0,70s(遅い),23,3,1.20s(普通),中堅スカウト公開求人,近距離防御火力,6
ユーネクテス,重装,決闘者,4468,1007+70,615+70,0,70s(遅い),33,1,1.60s(やや遅い),スタンダード公開求人,近距離火力生存防御,6
エクシア,狙撃,速射手,1673,540+90,161,0,70s(遅い),14,1,1.00s(速い),中堅スカウト公開求人,遠距離火力,6
シュヴァルツ,狙撃,精密射手,1833,840+100,225,0,70s(遅い),20,1,1.60s(やや遅い),中堅スカウト公開求人,遠距離火力,6
ロサ,狙撃,破城射手,1755,1032+110,122,0,70s(遅い),24,1,2.40s(遅い),中堅スカウト公開求人,遠距離火力牽制,6
イフリータ,術師,爆撃術師,1680,870+110,130,20,70s(遅い),34,1,2.90s(遅い),中堅スカウト公開求人,遠距離範囲攻撃弱化,6
ケオベ,術師,中堅術師,1565,667+90,128,20,70s(遅い),21,1,1.60s(やや遅い),中堅スカウト公開求人,遠距離火力牽制,6
モスティマ,術師,拡散術師,1831,834+105,132,20,70s(遅い),34,1,2.90s(遅い),中堅スカウト公開求人,遠距離範囲攻撃支援牽制,6
シャイニング,医療,医師,1613,530+80,138+20,0,70s(遅い),20,1,2.85s(遅い),中堅スカウト公開求人,遠距離治療支援,6
ナイチンゲール,医療,群癒師,1705,350+70,169,5,70s(遅い),18,1,2.85s(遅い),中堅スカウト公開求人,遠距離治療支援,6
スズラン,補助,緩速師,1480,521+75,128,25,70s(遅い),16,1,1.90s(遅い),中堅スカウト公開求人,遠距離減速支援火力,6
マゼラン,補助,召喚師,1103+300,469+40,140,20,70s(遅い),12,1,1.60s(やや遅い),中堅スカウト公開求人,遠距離支援減速火力,6
ア,特殊,鬼才,2034+300,703+50,152,10,70s(遅い),13,1,1.30s(やや遅い),中堅スカウト公開求人,遠距離支援火力,6
ウィーディ,特殊,推撃手,2133,677+45,394+45,0,70s(遅い),21,2,1.20s(普通),スタンダード公開求人,近距離強制移動火力牽制,6
ファントム,特殊,執行者,1645,558+90,322,0,18s(速い),10,1,0.93s(速い),中堅スカウト公開求人,近距離高速再配置牽制火力,6
エリジウム,先鋒,旗手,1669,533,335+60,0,70s(遅い),11,1,1.30s(やや遅い),スタンダード公開求人,近距離COST回復支援,5
キアーベ,先鋒,先駆兵,1824,522+70,342,0,70s(遅い),13,2,1.05s(普通),中堅スカウト公開求人,近距離COST回復火力,5
